No.,English,Japanese,Comment,FileName
1,We must respect the will of the individual.,,"respect    ,
will    ,
individual    ",Eng_Jpn_0001.m4a
2,Take it easy. I can assure you that everything will turn out fine.,    ,"Take it easy    ,
assure A (that)    ,
turn out (to be)...  ",Eng_Jpn_0002.m4a
3,Let go of your negative outlook on life. Always maintain a positive attitude.,    ,"let go of../let ... go    ,
negative    ,
outlook    ,
maintain    ,
positive    ,
attitude(to/toward...)    ",Eng_Jpn_0003.m4a
4,"You should be fair to everyone regardless of national origin, gender, or creed.",    ,"fair    ,
regardless of ...    ,
national    ,
origin    ,
gender    ,
creed    ",Eng_Jpn_0004.m4a
5,Equality is guaranteed by the Constitution.,    ,"equality    ,
guarantee...    ,
constitution    "Eng_Jpn_0005.m4a
6,He leaned against the pillar and gazed at the Statue of Liberty.,    ,"lean (...)    ,
pillar    ,
gaze (at...)    ,
statue    ,
liberty    ",Eng_Jpn_0006.m4a
7,A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.,    ,"pass by (...)    ,
give off ...    ,
subtle    ,
scent    ,
perfume    ,
remind...    ,
ex-...    ",Eng_Jpn_0007.m4a
8,"""Natto"" smells awful but tastes terrific.",    ,"smell (...)    ,
awful    ,
taste...    ,
terrific",Eng_Jpn_0008.m4a
9,"""I'm soaked with sweat."" ""Stand back! You stink. Take a shower.""",    ,"soaked    ,
sweat    ,
stand back    ,
stink    ,
take a shower    ",Eng_Jpn_0009.m4a
10,Bob was so beside himself that he could scarcely tell fact from fiction.,    ,"be beside oneself (with...)    ,
scarcely    ,
tell A from B    ,
fact    ,
fiction    "
11,"His new novel, which combines prose with his gift for poetry, is going to be published.",    ,"novel    ,
combine    ,
prose    ,
gift    ,
poetry    ,
publish...    "
12,An up-to-date edition of the encyclopedia will come out next month.,    ,"up-to-date...    ,
edition    ,
encyclopedia    ,
come out    "
13,Ms. Yamada translated the fascinating fairy tale into plain Japanese.,    ,"translate (...)(from A into B)    ,
fascinating    ,
fairy    ,
tale    ,
plain    "
14,The following passage is quoted from a well-known fable.,    ,"following    ,
passage    ,
quote (...)    ,
well-known    ,
fable    "
15,"""Are you familiar with contemporary literature?"" 
""I know next to nothing about it.""",    ,"familiar    ,
contemporary    ,
literature    ,
next to...    "
16,"At times I confuse ""curve"" with ""carve"".",    ,"at times    ,
confuse...    ,
curve    ,
carve (...)    "
17,Don't be shy. Your pronunciation is more or less correct.,    ,"shy    ,
pronunciation    ,
more or less    ,
correct    "
18,This article contains tips for those who are eager to increase their vocabulary.,    ,"article    ,
contain...    ,
tip    ,
those who~    ,
eager    ,
increase (...)    ,
vocabulary    "
19,His latest works are on display at the city hall. They are fabulous beyond description.,    ,"latest    ,
work    ,
display    ,
hall    ,
fabulous    ,
description    "
20,"""Could you move over a little?"" 
""Oh, sorry. I didn't realize I was taking up so much space.""",    ,"move over    ,
realize...    ,
take up...    "
21,"""What's this ugly object?"" 
""This is a piece of abstract art!""",    ,"ugly    ,
object    ,
a piece of...    ,
abstract    "
22,"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too.""",    ,"beg (...)    ,
lend ... A    ,
buck    ,
shake one's head    ,
be (flat) broke    "
23,"""I'm apt to buy things on impulse whenever something is on sale."" 
""So am I.""",    ,"apt    ,
impulse    ,
on sale    ,
So am I.    "
24,"As it is, ordinary people cannot afford to purchase such luxuries.",    ,"as it is    ,
ordinary    ,
can afford...    ,
purchase...    ,
luxury    "
25,"As we anticipated, the unemployment rate has risen three quarters in a row.",    ,"anticipate...    ,
unemployment    ,
rate    ,
rise    ,
quarter    ,
row    "
26,"I have to cut down on my expenses, so from now on, I'm going to keep track of them on a daily basis.",    ,"cut down on...    ,
expense    ,
from now on    ,
track    ,
daily    ,
on a ... basis    "
27,"In any case, the union has to compromise to a certain extent.",    ,"case    ,
union    ,
compromise (...)    ,
certain    ,
extent    "
28,"Competent mechanics are in great demand, so they earn decent wages.",    ,"competent    ,
mechanic    ,
demand    ,
earn...    ,
decent    ,
wages    "
29,The president announced a concrete plan to carry out welfare reform.,    ,"president    ,
announce...    ,
concrete    ,
carry ... out    ,
welfare    ,
reform    "
